Time(s),Ifc(A),PH2(atm),Vfc(v)
0,0,5,Inf
0.1,0,4.966666667,Inf
0.2,0,4.933333333,Inf
0.3,0,4.9,Inf
0.4,0,4.866666667,Inf
0.5,0,4.833333333,Inf
0.6,0,4.8,Inf
0.7,0,4.766666667,Inf
0.8,0,4.733333333,Inf
0.9,0,4.7,Inf
1,0,4.666666667,Inf
1.1,0,4.633333333,Inf
1.2,0,4.6,Inf
1.3,0,4.566666667,Inf
1.4,0,4.533333333,Inf
1.5,0,4.5,Inf
1.6,0,4.466666667,Inf
1.7,0,4.433333333,Inf
1.8,0,4.4,Inf
1.9,0,4.366666667,Inf
2,0,4.333333333,Inf
2.1,0,4.3,Inf
2.2,0,4.266666667,Inf
2.3,0,4.233333333,Inf
2.4,0,4.2,Inf
2.5,0,4.166666667,Inf
2.6,0,4.133333333,Inf
2.7,0,4.1,Inf
2.8,0,4.066666667,Inf
2.9,0,4.033333333,Inf
3,0,4,Inf
3.1,0,3.966666667,Inf
3.2,0,3.933333333,Inf
3.3,0,3.9,Inf
3.4,0,3.866666667,Inf
3.5,0,3.833333333,Inf
3.6,0,3.8,Inf
3.7,0,3.766666667,Inf
3.8,0,3.733333333,Inf
3.9,0,3.7,Inf
4,0,3.666666667,Inf
4.1,0,3.633333333,Inf
4.2,0,3.6,Inf
4.3,0,3.566666667,Inf
4.4,0,3.533333333,Inf
4.5,0,3.5,Inf
4.6,0,3.466666667,Inf
4.7,0,3.433333333,Inf
4.8,0,3.4,Inf
4.9,0,3.366666667,Inf
5,0,3.333333333,Inf
5.1,0,3.3,Inf
5.2,0,3.266666667,Inf
5.3,0,3.233333333,Inf
5.4,0,3.2,Inf
5.5,0,3.166666667,Inf
5.6,0,3.133333333,Inf
5.7,0,3.1,Inf
5.8,0,3.066666667,Inf
5.9,0,3.033333333,Inf
6,0,3,Inf
6.1,0,2.966666667,Inf
6.2,0,2.933333333,Inf
6.3,0,2.9,Inf
6.4,0,2.866666667,Inf
6.5,0,2.833333333,Inf
6.6,0,2.8,Inf
6.7,0,2.766666667,Inf
6.8,0,2.733333333,Inf
6.9,0,2.7,Inf
7,0,2.666666667,Inf
7.1,0,2.633333333,Inf
7.2,0,2.6,Inf
7.3,0,2.566666667,Inf
7.4,0,2.533333333,Inf
7.5,0,2.5,Inf
7.6,0,2.466666667,Inf
7.7,0,2.433333333,Inf
7.8,0,2.4,Inf
7.9,0,2.366666667,Inf
8,0,2.333333333,Inf
8.1,0,2.3,Inf
8.2,0,2.266666667,Inf
8.3,0,2.233333333,Inf
8.4,0,2.2,Inf
8.5,0,2.166666667,Inf
8.6,0,2.133333333,Inf
8.7,0,2.1,Inf
8.8,0,2.066666667,Inf
8.9,0,2.033333333,Inf
9,0,2,Inf
9.1,0,1.966666667,Inf
9.2,0,1.933333333,Inf
9.3,0,1.9,Inf
9.4,0,1.866666667,Inf
9.5,0,1.833333333,Inf
9.6,0,1.8,Inf
9.7,0,1.766666667,Inf
9.8,0,1.733333333,Inf
9.9,0,1.7,Inf
10,0,1.666666667,Inf
10.1,0,1.633333333,Inf
10.2,0,1.6,Inf
10.3,0,1.566666667,Inf
10.4,0,1.533333333,Inf
10.5,0,1.5,Inf
10.6,0,1.466666667,Inf
10.7,0,1.433333333,Inf
10.8,0,1.4,Inf
10.9,0,1.366666667,Inf
11,0,1.333333333,Inf
11.1,0,1.3,Inf
11.2,0,1.266666667,Inf
11.3,0,1.233333333,Inf
11.4,0,1.2,Inf
11.5,0,1.166666667,Inf
11.6,0,1.133333333,Inf
11.7,0,1.1,Inf
11.8,0,1.066666667,Inf
11.9,0,1.033333333,Inf
12,0,1,Inf
12.1,0,0.966666667,Inf
12.2,0,0.933333333,Inf
12.3,0,0.9,Inf
12.4,0,0.866666667,Inf
12.5,0,0.833333333,Inf
12.6,0,0.8,Inf
12.7,0,0.766666667,Inf
12.8,0,0.733333333,Inf
12.9,0,0.7,Inf
13,0,0.666666667,Inf
13.1,0,0.633333333,Inf
13.2,0,0.6,Inf
13.3,0,0.566666667,Inf
13.4,0,0.533333333,Inf
13.5,0,0.5,Inf
13.6,0,0.466666667,Inf
13.7,0,0.433333333,Inf
13.8,0,0.4,Inf
13.9,0,0.366666667,Inf
14,0,0.333333333,Inf
14.1,0,0.3,Inf
14.2,0,0.266666667,Inf
14.3,0,0.233333333,Inf
14.4,0,0.2,Inf
14.5,0,0.166666667,Inf
14.6,0,0.133333333,Inf
14.7,0,0.1,Inf
14.8,0,0.066666667,Inf
14.9,0,0.033333333,Inf
15,5,5,0.794895053
15.1,5,4.966666667,0.794796167
15.2,5,4.933333333,0.794696616
15.3,5,4.9,0.79459639
15.4,5,4.866666667,0.79449548
15.5,5,4.833333333,0.794393876
15.6,5,4.8,0.794291569
15.7,5,4.766666667,0.794188549
15.8,5,4.733333333,0.794084806
15.9,5,4.7,0.79398033
16,5,4.666666667,0.79387511
16.1,5,4.633333333,0.793769136
16.2,5,4.6,0.793662397
16.3,5,4.566666667,0.793554882
16.4,5,4.533333333,0.793446579
16.5,5,4.5,0.793337476
16.6,5,4.466666667,0.793227563
16.7,5,4.433333333,0.793116826
16.8,5,4.4,0.793005253
16.9,5,4.366666667,0.792892832
17,5,4.333333333,0.79277955
17.1,5,4.3,0.792665393
17.2,5,4.266666667,0.792550347
17.3,5,4.233333333,0.792434399
17.4,5,4.2,0.792317534
17.5,5,4.166666667,0.792199738
17.6,5,4.133333333,0.792080996
17.7,5,4.1,0.791961293
17.8,5,4.066666667,0.791840612
17.9,5,4.033333333,0.791718938
18,5,4,0.791596254
18.1,5,3.966666667,0.791472544
18.2,5,3.933333333,0.79134779
18.3,5,3.9,0.791221974
18.4,5,3.866666667,0.791095078
18.5,5,3.833333333,0.790967083
18.6,5,3.8,0.79083797
18.7,5,3.766666667,0.79070772
18.8,5,3.733333333,0.790576312
18.9,5,3.7,0.790443726
19,5,3.666666667,0.790309939
19.1,5,3.633333333,0.790174931
19.2,5,3.6,0.790038678
19.3,5,3.566666667,0.789901158
19.4,5,3.533333333,0.789762347
19.5,5,3.5,0.78962222
19.6,5,3.466666667,0.789480752
19.7,5,3.433333333,0.789337917
19.8,5,3.4,0.789193688
19.9,5,3.366666667,0.789048039
20,5,3.333333333,0.78890094
20.1,5,3.3,0.788752363
20.2,5,3.266666667,0.788602278
20.3,5,3.233333333,0.788450653
20.4,5,3.2,0.788297456
20.5,5,3.166666667,0.788142656
20.6,5,3.133333333,0.787986218
20.7,5,3.1,0.787828106
20.8,5,3.066666667,0.787668285
20.9,5,3.033333333,0.787506717
